config,metric,mean,std,median,n_seeds,seed_0,seed_1,seed_2,seed_3,seed_4
baseline,top1_acc,0.4353,0.1073,0.4326,5,0.3276,0.6083,0.3682,0.4326,0.4400
baseline,balanced_acc,0.4353,0.1073,0.4326,5,0.3276,0.6083,0.3682,0.4326,0.4400
baseline,head_f1,0.4754,0.1090,0.4742,5,0.3491,0.6466,0.4283,0.4742,0.4787
baseline,mid_f1,0.4381,0.1073,0.4326,5,0.3386,0.6126,0.3632,0.4326,0.4438
baseline,tail_f1,0.3328,0.1303,0.3314,5,0.2009,0.5439,0.2558,0.3321,0.3314
baseline,head_tail_f1_gap,0.1426,0.0252,0.1474,5,0.1482,0.1028,0.1725,0.1421,0.1474
baseline,worst_class_f1,0.0185,0.0414,0.0000,5,0.0000,0.0926,0.0000,0.0000,0.0000
baseline,worst_class_acc,0.0100,0.0224,0.0000,5,0.0000,0.0500,0.0000,0.0000,0.0000
rebal,top1_acc,0.4997,0.1330,0.5953,5,0.5953,0.3573,0.5986,0.3508,0.5965
rebal,balanced_acc,0.4997,0.1330,0.5953,5,0.5953,0.3573,0.5986,0.3508,0.5965
rebal,head_f1,0.5144,0.1363,0.6111,5,0.6163,0.3657,0.6146,0.3645,0.6111
rebal,mid_f1,0.4885,0.1477,0.5934,5,0.5942,0.3219,0.5934,0.3317,0.6012
rebal,tail_f1,0.4730,0.1370,0.5688,5,0.5688,0.3206,0.5779,0.3252,0.5722
rebal,head_tail_f1_gap,0.0415,0.0046,0.0393,5,0.0475,0.0451,0.0367,0.0393,0.0389
rebal,worst_class_f1,0.1333,0.1154,0.1818,5,0.1818,0.0000,0.2339,0.0183,0.2326
rebal,worst_class_acc,0.0920,0.0844,0.1100,5,0.1100,0.0000,0.1900,0.0100,0.1500
rebal_crt,top1_acc,0.5327,0.0878,0.5942,5,0.5942,0.4270,0.5986,0.4465,0.5970
rebal_crt,balanced_acc,0.5327,0.0878,0.5942,5,0.5942,0.4270,0.5986,0.4465,0.5970
rebal_crt,head_f1,0.5434,0.0979,0.6068,5,0.6206,0.4216,0.6155,0.4523,0.6068
rebal_crt,mid_f1,0.5303,0.0965,0.5917,5,0.5917,0.4201,0.6006,0.4298,0.6094
rebal_crt,tail_f1,0.5112,0.0839,0.5674,5,0.5674,0.4071,0.5757,0.4326,0.5731
rebal_crt,head_tail_f1_gap,0.0322,0.0156,0.0337,5,0.0533,0.0145,0.0398,0.0196,0.0337
rebal_crt,worst_class_f1,0.1565,0.0934,0.2137,5,0.2137,0.0541,0.2315,0.0548,0.2283
rebal_crt,worst_class_acc,0.1140,0.0754,0.1400,5,0.1400,0.0300,0.2000,0.0400,0.1600
