class_idx,region,baseline_f1,baseline_acc,rebal_f1,rebal_acc,rebal_crt_f1,rebal_crt_acc
0,head,0.599303,0.860000,0.860000,0.860000,0.861386,0.870000
1,head,0.418367,0.410000,0.733032,0.810000,0.747664,0.800000
2,head,0.240000,0.210000,0.511848,0.540000,0.508929,0.570000
3,head,0.201149,0.350000,0.468293,0.480000,0.442553,0.520000
4,head,0.068966,0.040000,0.380165,0.460000,0.432900,0.500000
5,head,0.390805,0.340000,0.616071,0.690000,0.622642,0.660000
6,head,0.292683,0.180000,0.657778,0.740000,0.656863,0.670000
7,head,0.412844,0.450000,0.630137,0.690000,0.657277,0.700000
8,head,0.549020,0.420000,0.807512,0.860000,0.827586,0.840000
9,head,0.331313,0.820000,0.786070,0.790000,0.773585,0.820000
10,head,0.330000,0.330000,0.453782,0.540000,0.418605,0.540000
11,head,0.267477,0.440000,0.391489,0.460000,0.387665,0.440000
12,head,0.368231,0.510000,0.635983,0.760000,0.641667,0.770000
13,head,0.373770,0.570000,0.604651,0.650000,0.602740,0.660000
14,head,0.320513,0.250000,0.517928,0.650000,0.563877,0.640000
15,head,0.267606,0.570000,0.613333,0.690000,0.639640,0.710000
16,head,0.324607,0.620000,0.604255,0.710000,0.597403,0.690000
17,head,0.489510,0.350000,0.810000,0.810000,0.815920,0.820000
18,head,0.393064,0.340000,0.511211,0.570000,0.504202,0.600000
19,head,0.315789,0.390000,0.603352,0.540000,0.578680,0.570000
20,head,0.298701,0.920000,0.758294,0.800000,0.743961,0.770000
21,head,0.585586,0.650000,0.771574,0.760000,0.761905,0.800000
22,head,0.316547,0.440000,0.560748,0.600000,0.566210,0.620000
23,head,0.515464,0.750000,0.775510,0.760000,0.805825,0.830000
24,head,0.373134,0.250000,0.728155,0.750000,0.726415,0.770000
25,head,0.279570,0.260000,0.511848,0.540000,0.502326,0.540000
26,head,0.229885,0.200000,0.476534,0.660000,0.521368,0.610000
27,head,0.226667,0.170000,0.407018,0.580000,0.450820,0.550000
28,head,0.458904,0.670000,0.752381,0.790000,0.735849,0.780000
29,head,0.247492,0.370000,0.518519,0.560000,0.512821,0.600000
30,head,0.390671,0.670000,0.631068,0.650000,0.626168,0.670000
31,head,0.305764,0.610000,0.647059,0.550000,0.652632,0.620000
32,head,0.336735,0.330000,0.602041,0.590000,0.592233,0.610000
33,mid,0.386207,0.280000,0.600985,0.610000,0.565217,0.650000
34,mid,0.283105,0.310000,0.601156,0.520000,0.583333,0.560000
35,mid,0.051724,0.030000,0.395833,0.380000,0.401961,0.410000
36,mid,0.434211,0.330000,0.729167,0.700000,0.714976,0.740000
